Navn;Stasjon;Tid(norsk normaltid);Snødybde
Bergen - Florida;SN50540;04.06.2010;0
Bergen - Florida;SN50540;05.06.2010;0
Bergen - Florida;SN50540;06.06.2010;0
Bergen - Florida;SN50540;07.06.2010;0
Bergen - Florida;SN50540;08.06.2010;0
Bergen - Florida;SN50540;09.06.2010;0
Bergen - Florida;SN50540;10.06.2010;0
Bergen - Florida;SN50540;11.06.2010;0
Bergen - Florida;SN50540;12.06.2010;0
Bergen - Florida;SN50540;13.06.2010;0
Bergen - Florida;SN50540;14.06.2010;0
Bergen - Florida;SN50540;15.06.2010;0
Bergen - Florida;SN50540;16.06.2010;0
Bergen - Florida;SN50540;17.06.2010;0
Bergen - Florida;SN50540;18.06.2010;0
Bergen - Florida;SN50540;19.06.2010;0
Bergen - Florida;SN50540;20.06.2010;0
Bergen - Florida;SN50540;21.06.2010;0
Bergen - Florida;SN50540;22.06.2010;0
Bergen - Florida;SN50540;23.06.2010;0
Bergen - Florida;SN50540;24.06.2010;0
Bergen - Florida;SN50540;25.06.2010;0
Bergen - Florida;SN50540;26.06.2010;0
Bergen - Florida;SN50540;27.06.2010;0
Bergen - Florida;SN50540;28.06.2010;0
Bergen - Florida;SN50540;29.06.2010;0
Bergen - Florida;SN50540;30.06.2010;0
Bergen - Florida;SN50540;01.07.2010;0
Bergen - Florida;SN50540;02.07.2010;0
Bergen - Florida;SN50540;03.07.2010;0
Bergen - Florida;SN50540;04.07.2010;0
Bergen - Florida;SN50540;05.07.2010;0
Bergen - Florida;SN50540;06.07.2010;0
Bergen - Florida;SN50540;07.07.2010;0
Bergen - Florida;SN50540;08.07.2010;0
Bergen - Florida;SN50540;09.07.2010;0
Bergen - Florida;SN50540;10.07.2010;0
Bergen - Florida;SN50540;11.07.2010;0
Bergen - Florida;SN50540;12.07.2010;0
Bergen - Florida;SN50540;13.07.2010;0
Bergen - Florida;SN50540;14.07.2010;0
Bergen - Florida;SN50540;15.07.2010;0
Bergen - Florida;SN50540;16.07.2010;0
Bergen - Florida;SN50540;17.07.2010;0
Bergen - Florida;SN50540;18.07.2010;0
Bergen - Florida;SN50540;19.07.2010;0
Bergen - Florida;SN50540;20.07.2010;0
Bergen - Florida;SN50540;21.07.2010;0
Bergen - Florida;SN50540;22.07.2010;0
Bergen - Florida;SN50540;23.07.2010;0
Bergen - Florida;SN50540;24.07.2010;0
Bergen - Florida;SN50540;25.07.2010;0
Bergen - Florida;SN50540;26.07.2010;0
Bergen - Florida;SN50540;27.07.2010;0
Bergen - Florida;SN50540;28.07.2010;0
Bergen - Florida;SN50540;29.07.2010;0
Bergen - Florida;SN50540;30.07.2010;0
Bergen - Florida;SN50540;31.07.2010;0
Bergen - Florida;SN50540;01.08.2010;0
Bergen - Florida;SN50540;02.08.2010;0
Bergen - Florida;SN50540;03.08.2010;0
Bergen - Florida;SN50540;04.08.2010;0
Bergen - Florida;SN50540;05.08.2010;0
Bergen - Florida;SN50540;06.08.2010;0
Bergen - Florida;SN50540;07.08.2010;0
Bergen - Florida;SN50540;08.08.2010;0
Bergen - Florida;SN50540;09.08.2010;0
Bergen - Florida;SN50540;10.08.2010;0
Bergen - Florida;SN50540;11.08.2010;0
Bergen - Florida;SN50540;12.08.2010;0
Bergen - Florida;SN50540;13.08.2010;0
Bergen - Florida;SN50540;14.08.2010;0
Bergen - Florida;SN50540;15.08.2010;0
Bergen - Florida;SN50540;16.08.2010;0
Bergen - Florida;SN50540;17.08.2010;0
Bergen - Florida;SN50540;18.08.2010;0
Bergen - Florida;SN50540;19.08.2010;0
Bergen - Florida;SN50540;20.08.2010;0
Bergen - Florida;SN50540;21.08.2010;0
Bergen - Florida;SN50540;22.08.2010;0
Bergen - Florida;SN50540;23.08.2010;0
Bergen - Florida;SN50540;24.08.2010;0
Bergen - Florida;SN50540;25.08.2010;0
Bergen - Florida;SN50540;26.08.2010;0
Bergen - Florida;SN50540;27.08.2010;0
Bergen - Florida;SN50540;28.08.2010;0
Bergen - Florida;SN50540;29.08.2010;0
Bergen - Florida;SN50540;30.08.2010;0
Bergen - Florida;SN50540;31.08.2010;0
Bergen - Florida;SN50540;01.09.2010;0
Bergen - Florida;SN50540;02.09.2010;0
Bergen - Florida;SN50540;03.09.2010;0
Bergen - Florida;SN50540;04.09.2010;0
Bergen - Florida;SN50540;05.09.2010;0
Bergen - Florida;SN50540;06.09.2010;0
Bergen - Florida;SN50540;07.09.2010;0
Bergen - Florida;SN50540;08.09.2010;0
Bergen - Florida;SN50540;09.09.2010;0
Bergen - Florida;SN50540;10.09.2010;0
Bergen - Florida;SN50540;11.09.2010;0
Bergen - Florida;SN50540;12.09.2010;0
Bergen - Florida;SN50540;13.09.2010;0
Bergen - Florida;SN50540;14.09.2010;0
Bergen - Florida;SN50540;15.09.2010;0
Bergen - Florida;SN50540;16.09.2010;0
Bergen - Florida;SN50540;17.09.2010;0
Bergen - Florida;SN50540;18.09.2010;0
Bergen - Florida;SN50540;19.09.2010;0
Bergen - Florida;SN50540;20.09.2010;0
Bergen - Florida;SN50540;21.09.2010;0
Bergen - Florida;SN50540;22.09.2010;0
Bergen - Florida;SN50540;23.09.2010;0
Bergen - Florida;SN50540;24.09.2010;0
Bergen - Florida;SN50540;25.09.2010;0
Bergen - Florida;SN50540;26.09.2010;0
Bergen - Florida;SN50540;27.09.2010;0
Bergen - Florida;SN50540;28.09.2010;0
Bergen - Florida;SN50540;29.09.2010;0
Bergen - Florida;SN50540;30.09.2010;0
Bergen - Florida;SN50540;01.10.2010;0
Bergen - Florida;SN50540;02.10.2010;0
Bergen - Florida;SN50540;03.10.2010;0
Bergen - Florida;SN50540;04.10.2010;0
Bergen - Florida;SN50540;05.10.2010;0
Bergen - Florida;SN50540;06.10.2010;0
Bergen - Florida;SN50540;07.10.2010;0
Bergen - Florida;SN50540;08.10.2010;0
Bergen - Florida;SN50540;09.10.2010;0
Bergen - Florida;SN50540;10.10.2010;0
Bergen - Florida;SN50540;11.10.2010;0
Bergen - Florida;SN50540;12.10.2010;0
Bergen - Florida;SN50540;13.10.2010;0
Bergen - Florida;SN50540;14.10.2010;0
Bergen - Florida;SN50540;15.10.2010;0
Bergen - Florida;SN50540;16.10.2010;0
Bergen - Florida;SN50540;17.10.2010;0
Bergen - Florida;SN50540;18.10.2010;0
Bergen - Florida;SN50540;19.10.2010;0
Bergen - Florida;SN50540;20.10.2010;0
Bergen - Florida;SN50540;21.10.2010;5
Bergen - Florida;SN50540;22.10.2010;4
Bergen - Florida;SN50540;23.10.2010;2
Bergen - Florida;SN50540;24.10.2010;1
Bergen - Florida;SN50540;25.10.2010;0
Bergen - Florida;SN50540;26.10.2010;0
Bergen - Florida;SN50540;27.10.2010;0
Bergen - Florida;SN50540;28.10.2010;0
Bergen - Florida;SN50540;29.10.2010;0
Bergen - Florida;SN50540;30.10.2010;0
Bergen - Florida;SN50540;31.10.2010;0
Bergen - Florida;SN50540;01.11.2010;0
Bergen - Florida;SN50540;02.11.2010;0
Bergen - Florida;SN50540;03.11.2010;0
Bergen - Florida;SN50540;04.11.2010;0
Bergen - Florida;SN50540;05.11.2010;0
Bergen - Florida;SN50540;06.11.2010;0
Bergen - Florida;SN50540;07.11.2010;1
Bergen - Florida;SN50540;08.11.2010;0
Bergen - Florida;SN50540;09.11.2010;0
Bergen - Florida;SN50540;10.11.2010;0
Bergen - Florida;SN50540;11.11.2010;0
Bergen - Florida;SN50540;12.11.2010;0
Bergen - Florida;SN50540;13.11.2010;0
Bergen - Florida;SN50540;14.11.2010;0
Bergen - Florida;SN50540;15.11.2010;0
Bergen - Florida;SN50540;16.11.2010;0
Bergen - Florida;SN50540;17.11.2010;0
Bergen - Florida;SN50540;18.11.2010;0
Bergen - Florida;SN50540;19.11.2010;0
Bergen - Florida;SN50540;20.11.2010;0
Bergen - Florida;SN50540;21.11.2010;0
Bergen - Florida;SN50540;22.11.2010;0
Bergen - Florida;SN50540;23.11.2010;0
Bergen - Florida;SN50540;24.11.2010;0
Bergen - Florida;SN50540;25.11.2010;0
Bergen - Florida;SN50540;26.11.2010;0
Bergen - Florida;SN50540;27.11.2010;0
Bergen - Florida;SN50540;28.11.2010;0
Bergen - Florida;SN50540;29.11.2010;0
Bergen - Florida;SN50540;30.11.2010;0
Bergen - Florida;SN50540;01.12.2010;0
Bergen - Florida;SN50540;02.12.2010;0
Bergen - Florida;SN50540;03.12.2010;0
Bergen - Florida;SN50540;04.12.2010;0
Bergen - Florida;SN50540;05.12.2010;1
Bergen - Florida;SN50540;06.12.2010;2
Bergen - Florida;SN50540;07.12.2010;2
Bergen - Florida;SN50540;08.12.2010;2
Bergen - Florida;SN50540;09.12.2010;9
Bergen - Florida;SN50540;10.12.2010;10
Bergen - Florida;SN50540;11.12.2010;0
Bergen - Florida;SN50540;12.12.2010;0
Bergen - Florida;SN50540;13.12.2010;0
Bergen - Florida;SN50540;14.12.2010;0
Bergen - Florida;SN50540;15.12.2010;0
Bergen - Florida;SN50540;16.12.2010;5
Bergen - Florida;SN50540;17.12.2010;7
Bergen - Florida;SN50540;18.12.2010;5
Bergen - Florida;SN50540;19.12.2010;4
Bergen - Florida;SN50540;20.12.2010;3
Bergen - Florida;SN50540;21.12.2010;3
Bergen - Florida;SN50540;22.12.2010;6
Bergen - Florida;SN50540;23.12.2010;13
Bergen - Florida;SN50540;24.12.2010;26
Bergen - Florida;SN50540;25.12.2010;28
Bergen - Florida;SN50540;26.12.2010;24
Bergen - Florida;SN50540;27.12.2010;23
Bergen - Florida;SN50540;28.12.2010;22
Bergen - Florida;SN50540;29.12.2010;19
Bergen - Florida;SN50540;30.12.2010;17
Bergen - Florida;SN50540;31.12.2010;14
Bergen - Florida;SN50540;01.01.2011;6
Bergen - Florida;SN50540;02.01.2011;5
Bergen - Florida;SN50540;03.01.2011;5
Bergen - Florida;SN50540;04.01.2011;5
Bergen - Florida;SN50540;05.01.2011;4
Bergen - Florida;SN50540;06.01.2011;2
Bergen - Florida;SN50540;07.01.2011;11
Bergen - Florida;SN50540;08.01.2011;13
Bergen - Florida;SN50540;09.01.2011;5
Bergen - Florida;SN50540;10.01.2011;2
Bergen - Florida;SN50540;11.01.2011;2
Bergen - Florida;SN50540;12.01.2011;2
Bergen - Florida;SN50540;13.01.2011;2
Bergen - Florida;SN50540;14.01.2011;2
Bergen - Florida;SN50540;15.01.2011;2
Bergen - Florida;SN50540;16.01.2011;0
Bergen - Florida;SN50540;17.01.2011;0
Bergen - Florida;SN50540;18.01.2011;0
Bergen - Florida;SN50540;19.01.2011;0
Bergen - Florida;SN50540;20.01.2011;0
Bergen - Florida;SN50540;21.01.2011;0
Bergen - Florida;SN50540;22.01.2011;0
Bergen - Florida;SN50540;23.01.2011;0
Bergen - Florida;SN50540;24.01.2011;0
Bergen - Florida;SN50540;25.01.2011;0
Bergen - Florida;SN50540;26.01.2011;0
Bergen - Florida;SN50540;27.01.2011;0
Bergen - Florida;SN50540;28.01.2011;0
Bergen - Florida;SN50540;29.01.2011;0
Bergen - Florida;SN50540;30.01.2011;0
Bergen - Florida;SN50540;31.01.2011;0
Bergen - Florida;SN50540;01.02.2011;0
Bergen - Florida;SN50540;02.02.2011;0
Bergen - Florida;SN50540;03.02.2011;0
Bergen - Florida;SN50540;04.02.2011;0
Bergen - Florida;SN50540;05.02.2011;0
Bergen - Florida;SN50540;06.02.2011;0
Bergen - Florida;SN50540;07.02.2011;0
Bergen - Florida;SN50540;08.02.2011;0
Bergen - Florida;SN50540;09.02.2011;0
Bergen - Florida;SN50540;10.02.2011;0
Bergen - Florida;SN50540;11.02.2011;0
Bergen - Florida;SN50540;12.02.2011;0
Bergen - Florida;SN50540;13.02.2011;0
Bergen - Florida;SN50540;14.02.2011;0
Bergen - Florida;SN50540;15.02.2011;2
Bergen - Florida;SN50540;16.02.2011;9
Bergen - Florida;SN50540;17.02.2011;3
Bergen - Florida;SN50540;18.02.2011;2
Bergen - Florida;SN50540;19.02.2011;2
Bergen - Florida;SN50540;20.02.2011;1
Bergen - Florida;SN50540;21.02.2011;0
Bergen - Florida;SN50540;22.02.2011;0
Bergen - Florida;SN50540;23.02.2011;0
Bergen - Florida;SN50540;24.02.2011;10
Bergen - Florida;SN50540;25.02.2011;0
Bergen - Florida;SN50540;26.02.2011;0
Bergen - Florida;SN50540;27.02.2011;0
Bergen - Florida;SN50540;28.02.2011;0
Bergen - Florida;SN50540;01.03.2011;0
Bergen - Florida;SN50540;02.03.2011;0
Bergen - Florida;SN50540;03.03.2011;0
Bergen - Florida;SN50540;04.03.2011;0
Bergen - Florida;SN50540;05.03.2011;0
Bergen - Florida;SN50540;06.03.2011;0
Bergen - Florida;SN50540;07.03.2011;1
Bergen - Florida;SN50540;08.03.2011;0
Bergen - Florida;SN50540;09.03.2011;0
Bergen - Florida;SN50540;10.03.2011;4
Bergen - Florida;SN50540;11.03.2011;2
Bergen - Florida;SN50540;12.03.2011;1
Bergen - Florida;SN50540;13.03.2011;1
Bergen - Florida;SN50540;14.03.2011;1
Bergen - Florida;SN50540;15.03.2011;0
Bergen - Florida;SN50540;16.03.2011;0
Bergen - Florida;SN50540;17.03.2011;0
Bergen - Florida;SN50540;18.03.2011;3
Bergen - Florida;SN50540;19.03.2011;0
Bergen - Florida;SN50540;20.03.2011;0
Bergen - Florida;SN50540;21.03.2011;0
Bergen - Florida;SN50540;22.03.2011;0
Bergen - Florida;SN50540;23.03.2011;0
Bergen - Florida;SN50540;24.03.2011;0
Bergen - Florida;SN50540;25.03.2011;0
Bergen - Florida;SN50540;26.03.2011;0
Bergen - Florida;SN50540;27.03.2011;1
Bergen - Florida;SN50540;28.03.2011;0
Bergen - Florida;SN50540;29.03.2011;0
Bergen - Florida;SN50540;30.03.2011;0
Bergen - Florida;SN50540;31.03.2011;0
Bergen - Florida;SN50540;01.04.2011;0
Bergen - Florida;SN50540;02.04.2011;0
Bergen - Florida;SN50540;03.04.2011;0
Bergen - Florida;SN50540;04.04.2011;0
Bergen - Florida;SN50540;05.04.2011;0
Bergen - Florida;SN50540;06.04.2011;0
Bergen - Florida;SN50540;07.04.2011;0
Bergen - Florida;SN50540;08.04.2011;0
Bergen - Florida;SN50540;09.04.2011;0
Bergen - Florida;SN50540;10.04.2011;0
Bergen - Florida;SN50540;11.04.2011;0
Bergen - Florida;SN50540;12.04.2011;0
Bergen - Florida;SN50540;13.04.2011;0
Bergen - Florida;SN50540;14.04.2011;0
Bergen - Florida;SN50540;15.04.2011;0
Bergen - Florida;SN50540;16.04.2011;0
Bergen - Florida;SN50540;17.04.2011;0
Bergen - Florida;SN50540;18.04.2011;0
Bergen - Florida;SN50540;19.04.2011;0
Bergen - Florida;SN50540;20.04.2011;0
Bergen - Florida;SN50540;21.04.2011;0
Bergen - Florida;SN50540;22.04.2011;0
Bergen - Florida;SN50540;23.04.2011;0
Bergen - Florida;SN50540;24.04.2011;0
Bergen - Florida;SN50540;25.04.2011;0
Bergen - Florida;SN50540;26.04.2011;0
Bergen - Florida;SN50540;27.04.2011;0
Bergen - Florida;SN50540;28.04.2011;0
Bergen - Florida;SN50540;29.04.2011;0
Bergen - Florida;SN50540;30.04.2011;0
Bergen - Florida;SN50540;01.05.2011;0
Bergen - Florida;SN50540;02.05.2011;0
Bergen - Florida;SN50540;03.05.2011;0
Bergen - Florida;SN50540;04.05.2011;0
Bergen - Florida;SN50540;05.05.2011;0
Bergen - Florida;SN50540;06.05.2011;0
